ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
accablez	akable	accabler	VER			5.55	21.28	0.17	0.14	imp:pre:2p;ind:pre:2p;	1	10	0	8	6	VCCVCCVC	VCVCCV	1	4	0	6	a-ka-ble	3	V-CV-CCV	zelbacca	elbaka	ac-ca-blez	VER	95	20	2.35	1.7	accabler	1
accablions	akablij§	accabler	VER			5.55	21.28	0.00	0.07	ind:imp:1p;	1	1	0	10	8	VCCVCCVVCC	VCVCCVYV	0	1	0	0	a-ka-bli-j§	4	V-CV-CCV-YV	snoilbacca	§jilbaka	ac-ca-blions	VER	95	20	3.2	2.85	accabler	1
accablât	akabla	accabler	VER			5.55	21.28	0.00	0.07	sub:imp:3s;	1	2	0	8	6	VCCVCCVC	VCVCCV	0	4	0	0	a-ka-bla	3	V-CV-CCV	tâlbacca	albaka	ac-ca-blât	VER	95	20	2.4	1.7	accabler	1
accablèrent	akablER	accabler	VER			5.55	21.28	0.00	0.20	ind:pas:3p;	1	1	0	11	7	VCCVCCVCVCC	VCVCCVC	0	1	0	0	a-ka-blER	3	V-CV-CCVC	tnerèlbacca	RElbaka	ac-ca-blè-rent	VER	95	20	2.7	1.9	accabler	1
accablé	akable	accabler	VER	m	s	5.55	21.28	0.92	4.05	par:pas;	2	10	0	7	6	VCCVCCV	VCVCCV	2	4	7	6	a-ka-ble	3	V-CV-CCV	élbacca	elbaka	ac-ca-blé	VER,ADJ	95	20	2.2	1.7	accabler	1
accablé	akable	accablé	ADJ	m	s	0.53	5.47	0.39	3.58		2	10	1	7	6	VCCVCCV	VCVCCV	2	4	7	6	a-ka-ble	3	V-CV-CCV	élbacca	elbaka	ac-ca-blé	VER,ADJ	96	26	2.2	1.7	accablé	1
accablée	akable	accabler	VER	f	s	5.55	21.28	0.60	2.23	par:pas;	2	10	0	8	6	VCCVCCVV	VCVCCV	1	4	0	6	a-ka-ble	3	V-CV-CCV	eélbacca	elbaka	ac-ca-blée	VER,ADJ	95	20	2.2	1.7	accabler	1
accablée	akable	accablé	ADJ	f	s	0.53	5.47	0.03	1.08		2	10	0	8	6	VCCVCCVV	VCVCCV	1	4	0	6	a-ka-ble	3	V-CV-CCV	eélbacca	elbaka	ac-ca-blée	VER,ADJ	96	26	2.2	1.7	accablé	1
accablées	akable	accabler	VER	f	p	5.55	21.28	0.02	0.34	par:pas;	2	10	0	9	6	VCCVCCVVC	VCVCCV	0	4	0	6	a-ka-ble	3	V-CV-CCV	seélbacca	elbaka	ac-ca-blées	VER,ADJ	95	20	2.4	1.7	accabler	1
accablées	akable	accablé	ADJ	f	p	0.53	5.47	0.00	0.14		2	10	0	9	6	VCCVCCVVC	VCVCCV	0	4	0	6	a-ka-ble	3	V-CV-CCV	seélbacca	elbaka	ac-ca-blées	VER,ADJ	96	26	2.4	1.7	accablé	1
accablés	akable	accabler	VER	m	p	5.55	21.28	0.47	1.22	par:pas;	2	10	0	8	6	VCCVCCVC	VCVCCV	1	4	0	6	a-ka-ble	3	V-CV-CCV	sélbacca	elbaka	ac-ca-blés	VER,ADJ	95	20	2.2	1.7	accabler	1
accablés	akable	accablé	ADJ	m	p	0.53	5.47	0.11	0.68		2	10	0	8	6	VCCVCCVC	VCVCCV	1	4	0	6	a-ka-ble	3	V-CV-CCV	sélbacca	elbaka	ac-ca-blés	VER,ADJ	96	26	2.2	1.7	accablé	1
accalmie	akalmi	accalmie	NOM	f	s	0.50	3.72	0.46	2.97		1	3	1	8	6	VCCVCCVV	VCVCCV	1	0	8	4	a-kal-mi	3	V-CVC-CV	eimlacca	imlaka	ac-cal-mie	NOM	91	24	2.8	1.95	accalmie	1
accalmies	akalmi	accalmie	NOM	f	p	0.50	3.72	0.04	0.74		1	3	0	9	6	VCCVCCVVC	VCVCCV	0	0	0	4	a-kal-mi	3	V-CVC-CV	seimlacca	imlaka	ac-cal-mies	NOM	91	24	2.9	1.95	accalmie	1
accalmit	akalmi	accalmir	VER			0.00	0.07	0.00	0.07	ind:pas:3s;	1	3	0	8	6	VCCVCCVC	VCVCCV	1	0	0	4	a-kal-mi	3	V-CVC-CV	timlacca	imlaka	ac-cal-mit	VER			2.7	1.95	accalmir	1
accapara	akapaRa	accaparer	VER			0.97	3.99	0.01	0.07	ind:pas:3s;	1	1	0	8	7	VCCVCVCV	VCVCVCV	2	3	0	0	a-ka-pa-Ra	4	V-CV-CV-CV	arapacca	aRapaka	ac-ca-pa-ra	VER	100	23	2.5	2.1	accaparer	1
accaparaient	akapaRE	accaparer	VER			0.97	3.99	0.00	0.34	ind:imp:3p;	1	2	0	12	7	VCCVCVCVVVCC	VCVCVCV	0	3	0	0	a-ka-pa-RE	4	V-CV-CV-CV	tneiarapacca	ERapaka	ac-ca-pa-raient	VER	100	23	3.05	1.95	accaparer	1
accaparait	akapaRE	accaparer	VER			0.97	3.99	0.01	0.74	ind:imp:3s;	1	2	0	10	7	VCCVCVCVVC	VCVCVCV	1	3	0	0	a-ka-pa-RE	4	V-CV-CV-CV	tiarapacca	ERapaka	ac-ca-pa-rait	VER	100	23	2.7	1.95	accaparer	1
accaparant	akapaR@	accaparant	ADJ	m	s	0.02	0.07	0.02	0.00		2	2	1	10	7	VCCVCVCVCC	VCVCVCV	1	3	8	7	a-ka-pa-R@	4	V-CV-CV-CV	tnarapacca	@Rapaka	ac-ca-pa-rant	ADJ,VER	100	12	2.7	2.25	accaparant	1
accaparant	akapaR@	accaparer	VER			0.97	3.99	0.03	0.20	par:pre;	2	2	0	10	7	VCCVCVCVCC	VCVCVCV	1	3	8	7	a-ka-pa-R@	4	V-CV-CV-CV	tnarapacca	@Rapaka	ac-ca-pa-rant	ADJ,VER	100	23	2.7	2.25	accaparer	1
accaparante	akapaR@t	accaparant	ADJ	f	s	0.02	0.07	0.00	0.07		1	1	0	11	8	VCCVCVCVCCV	VCVCVCVC	0	0	0	0	a-ka-pa-R@t	4	V-CV-CV-CVC	etnarapacca	t@Rapaka	ac-ca-pa-ran-te	ADJ	100	12	3.5	2.55	accaparant	1
accapare	akapaR	accaparer	VER			0.97	3.99	0.34	0.61	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	1	0	8	6	VCCVCVCV	VCVCVC	2	0	0	0	a-ka-paR	3	V-CV-CVC	erapacca	Rapaka	ac-ca-pa-re	VER	100	23	2.35	1.8	accaparer	1
accaparer	akapaRe	accaparer	VER			0.97	3.99	0.20	0.68	inf;	1	6	1	9	7	VCCVCVCVC	VCVCVCV	1	3	9	7	a-ka-pa-Re	4	V-CV-CV-CV	rerapacca	eRapaka	ac-ca-pa-rer	VER	100	23	2.6	2.25	accaparer	1
accaparerait	akapaR°RE	accaparer	VER			0.97	3.99	0.00	0.07	cnd:pre:3s;	1	1	0	12	9	VCCVCVCVCVVC	VCVCVCVCV	0	0	0	0	a-ka-pa-R°-RE	5	V-CV-CV-CV-CV	tiarerapacca	ER°Rapaka	ac-ca-pa-re-rait	VER	100	23	3.65		accaparer	1
accapareur	akapaR9R	accapareur	ADJ	m	s	0.02	0.00	0.02	0.00		1	1	1	10	8	VCCVCVCVVC	VCVCVCVC	0	0	9	7	a-ka-pa-R9R	4	V-CV-CV-CVC	ruerapacca	R9Rapaka	ac-ca-pa-reur	ADJ	72	18	3.2	2.65	accaparer-eur	2
