8
0.6 0.4 0.8 1 0.2 0.2 0.5 0.7
147 sawtooth
-14 0.16666666666666666 0.5381660992052332
1 0.24444444444444444 0
-17 0.15 0.526344599336342
1 0.2611111111111111 0
-12 0.35555555555555557 0.5141120008059867
1 0.9611111111111111 0
-12 0.18888888888888888 0.5016591892229348
1 0.2111111111111111 0
-12 0.15555555555555556 0.48918048654698915
1 0.2611111111111111 0
-10 0.3388888888888889 0.4768706187597978
1 1.0 0
-14 0.24444444444444444 0.464921677231038
1 0.2833333333333333 0
-12 0.3611111111111111 0.4535201211968391
1 1.2333333333333334 0
-12 0.3888888888888889 0.4428438681257656
1 0.40555555555555556 0
-10 0.4722222222222222 0.4330595173762264
1 0.8722222222222222 0
-14 0.17777777777777778 0.42431975046920717
1 0.2111111111111111 0
-17 0.11666666666666667 0.41676094854420126
1 0.29444444444444445 0
-12 0.011111111111111112 0.41050106417714166
-10 0.011111111111111112 0.40563778076990376
1 1.3 0
-12 0.31666666666666665 0.4022469882334903
1 0.45 0
-10 0.3 0.40038159875135204
